category,check,severity,status,observed,expected
coverage,unified_session_medians,FAIL,PASS,810,810
coverage,unified_configuration_summary,FAIL,PASS,162,162
coverage,native_policy_session_medians,FAIL,PASS,900,900
coverage,pairwise_native_best_comparisons,FAIL,PASS,270,270
coverage,all_platform_metric_winners,FAIL,PASS,45,45
coverage,best_cpu_vs_best_gpu,FAIL,PASS,45,45
coverage,placement_by_size,FAIL,PASS,9,9
coverage,all_configuration_pareto,FAIL,PASS,162,162
coverage,unique_session_keys,FAIL,PASS,0,0
coverage,five_sessions_per_configuration,FAIL,PASS,"min=5, max=5",5
metric_identity,throughput_equals_flops_over_e2e_runtime,FAIL,PASS,max_rel_error=2.220e-16,<1e-12
metric_identity,efficiency_equals_flops_over_energy,FAIL,PASS,max_rel_error=2.220e-16,<1e-12
normalization,reported_vs_e2e_throughput_delta,WARN,PASS,max_abs_delta=0.01005%,<=0.1%
metric_identity,energy_and_efficiency_leaders_identical,FAIL,PASS,checked for all N,identical because work is fixed at each N
metric_identity,runtime_and_throughput_leaders_identical,FAIL,PASS,checked for all N,identical because work is fixed at each N
classification,winner_table_matches_pairwise_ratio_rule,FAIL,PASS,none,none
pairwise,ratio_ci_and_effect_ranges,FAIL,PASS,checked 270 rows,positive ordered CIs; effects in valid ranges
pareto,independent_pareto_recomputation,FAIL,PASS,none,none
stability,all_configurations_below_5pct_cv,WARN,WARN,"unstable=40; by_platform={'INTEL': 28, 'AMD': 12, '3090': 0, '5060ti': 0}",0
semantics,gpu_policy_status_is_single_configuration,FAIL,PASS,{'single_configuration'},{'single_configuration'}
semantics,energy_domain_asymmetry,WARN,WARN,CPU package RAPL versus GPU board NVML,retain in every CPU/GPU energy and Pareto claim
statistics,native_best_post_selection,WARN,WARN,selection and estimation use the same five sessions,descriptive intervals/effects only
statistics,five_sessions_limit_inference,WARN,WARN,n=5 session medians per configuration,"repeatability on measured systems, not hardware-population inference"
dense_vs_strided,configuration_matched_row_count,FAIL,PASS,648,648
dense_vs_strided,matched_ratio_identity,FAIL,PASS,max_abs_error=4.441e-16,<1e-12
dense_vs_strided,matched_classification_rule,FAIL,PASS,0,0
dense_vs_strided,native_best_row_count,FAIL,PASS,144,144
dense_vs_strided,native_best_post_selection_label,FAIL,PASS,['descriptive_native_best_post_selection_independent_sessions'],descriptive_native_best_post_selection_independent_sessions
dense_vs_strided,placement_change_columns_present,FAIL,PASS,[],[]
dense_vs_strided,placement_change_row_count,FAIL,PASS,27,27
dense_vs_strided,point_estimate_change_rule,FAIL,PASS,0,0
dense_vs_strided,leader_set_order_invariant_rule,FAIL,PASS,0,0
dense_vs_strided,decisive_placement_change_rule,FAIL,PASS,0,0
